gene,sl_score,sl_n_drivers,sl_drivers,deg_score,deg_cancers,drug_score,n_drugs,approved_drugs,drug_names,immune_score,actionability
HOXC9,0.0,0,,0.10713187739110583,LUAD(↑1.1),0.0,0,0,,0.0,0.026782969347776457
MRM1,0.0,0,,0.10712744532321321,LUAD(↑1.1),0.0,0,0,,0.0,0.026781861330803302
STK19B,0.0,0,,0.10711691363409112,BRCA(↑1.1),0.0,0,0,,0.0,0.02677922840852278
TFPT,0.0,0,,0.10711228958622865,BRCA(↑1.1),0.0,0,0,,0.0,0.026778072396557162
AL390719.2,0.0,0,,0.10702106537598906,LUAD(↑1.1),0.0,0,0,,0.0,0.026755266343997264
MRPS12,0.0,0,,0.10690633834804002,BRCA(↑1.1),0.0,0,0,,0.0,0.026726584587010004
FLYWCH2,0.0,0,,0.10686965132799005,BRCA(↑1.1),0.0,0,0,,0.0,0.026717412831997512
FTLP14,0.0,0,,0.10685892520631853,BRCA(↑1.1),0.0,0,0,,0.0,0.02671473130157963
AC138696.2,0.0,0,,0.10680111964094396,BRCA(↑1.1),0.0,0,0,,0.0,0.02670027991023599
FAM155B,0.0,0,,0.1067865199283626,LUAD(↑1.1),0.0,0,0,,0.0,0.02669662998209065
CENPL,0.0,0,,0.10678460848656368,LUAD(↑1.1),0.0,0,0,,0.0,0.02669615212164092
IL2RA,0.0,0,,0.10675132819219264,LUAD(↑1.1),0.0,0,0,,0.0,0.02668783204804816
AL138760.1,0.0,0,,0.10674895956074656,LUAD(↑1.1),0.0,0,0,,0.0,0.02668723989018664
CHRNA5,0.0,0,,0.10674710966325121,LUAD(↑1.1),0.0,0,0,,0.0,0.026686777415812803
RAB15,0.0,0,,0.10672885350779607,LUAD(↑1.1),0.0,0,0,,0.0,0.026682213376949017
GAREM2,0.0,0,,0.1067185386858183,LUAD(↑1.1),0.0,0,0,,0.0,0.026679634671454577
RNFT2,0.0,0,,0.10667048790203155,BRCA(↑1.1),0.0,0,0,,0.0,0.02666762197550789
CXCR2P1,0.0,0,,0.10663505636914669,BRCA(↑1.1),0.0,0,0,,0.0,0.026658764092286673
H2AC9P,0.0,0,,0.10663378229180895,BRCA(↑1.1),0.0,0,0,,0.0,0.026658445572952237
AP003108.5,0.0,0,,0.106569302163716,LUAD(↑1.1),0.0,0,0,,0.0,0.026642325540929
GTF2IRD1,0.0,0,,0.1065679679782765,BRCA(↑1.1),0.0,0,0,,0.0,0.026641991994569125
B4GALT2,0.0,0,,0.10632167902189904,LUAD(↑1.1),0.0,0,0,,0.0,0.02658041975547476
AC140479.2,0.0,0,,0.10630689539898526,LUAD(↑1.1),0.0,0,0,,0.0,0.026576723849746315
DUS1L,0.0,0,,0.10625568606469624,LUAD(↑1.1),0.0,0,0,,0.0,0.02656392151617406
CYP2A7P2,0.0,0,,0.10624483895399042,BRCA(↑1.1),0.0,0,0,,0.0,0.026561209738497606
AC026273.1,0.0,0,,0.10615897638047307,LUAD(↑1.1),0.0,0,0,,0.0,0.026539744095118268
RPS15AP36,0.0,0,,0.10614884066190684,BRCA(↑1.1),0.0,0,0,,0.0,0.02653721016547671
AC105328.1,0.0,0,,0.10609890303250939,BRCA(↑1.1),0.0,0,0,,0.0,0.026524725758127348
DARS2,0.0,0,,0.1060634188271559,LUAD(↑1.1),0.0,0,0,,0.0,0.026515854706788976
CRABP1,0.0,0,,0.1060038694573278,"BRCA(↓-1.4), LUAD(↑1.1)",0.0,0,0,,0.0,0.02650096736433195
GRM4,0.0,0,,0.10593665226328089,BRCA(↑1.1),0.0,0,0,,0.0,0.026484163065820222
CEACAM7,0.0,0,,0.1059357020943101,LUAD(↑1.1),0.0,0,0,,0.0,0.026483925523577524
KCNK6,0.0,0,,0.10592209257549404,BRCA(↑1.1),0.0,0,0,,0.0,0.02648052314387351
B4GALT3,0.0,0,,0.10590055675814485,BRCA(↑1.1),0.0,0,0,,0.0,0.02647513918953621
MICALL2,0.0,0,,0.1058585018520087,LUAD(↑1.1),0.0,0,0,,0.0,0.026464625463002173
AC108860.2,0.0,0,,0.10585725141086424,BRCA(↑1.1),0.0,0,0,,0.0,0.02646431285271606
MAGEA3,0.0,0,,0.10583891465888624,LUAD(↑1.1),0.0,0,0,,0.0,0.02645972866472156
MX2,0.0,0,,0.10579435115297744,LUAD(↑1.1),0.0,0,0,,0.0,0.02644858778824436
IGKV1D-43,0.0,0,,0.10574155821938509,LUAD(↑1.1),0.0,0,0,,0.0,0.026435389554846273
TRIM31-AS1,0.0,0,,0.10571952666404982,LUAD(↑1.1),0.0,0,0,,0.0,0.026429881666012456
AC011294.1,0.0,0,,0.10571678479057436,LUAD(↑1.1),0.0,0,0,,0.0,0.02642919619764359
ANGPTL4,0.0,0,,0.10571527056252675,"BRCA(↓-2.4), LUAD(↑1.1)",0.0,0,0,,0.0,0.026428817640631687
GRB7,0.0,0,,0.10569576888413741,LUAD(↑1.1),0.0,0,0,,0.0,0.026423942221034353
KDF1,0.0,0,,0.10566078677113389,BRCA(↑1.1),0.0,0,0,,0.0,0.02641519669278347
IGHV3-60,0.0,0,,0.10564386914238585,LUAD(↑1.1),0.0,0,0,,0.0,0.026410967285596464
KLHL17,0.0,0,,0.10562577796512787,LUAD(↑1.1),0.0,0,0,,0.0,0.026406444491281968
CABLES2,0.0,0,,0.10562231773482608,BRCA(↑1.1),0.0,0,0,,0.0,0.02640557943370652
AL391421.1,0.0,0,,0.10558758208509471,BRCA(↑1.1),0.0,0,0,,0.0,0.026396895521273677
KIF24,0.0,0,,0.10557231188692287,BRCA(↑1.1),0.0,0,0,,0.0,0.026393077971730718
RHOD,0.0,0,,0.10557208750422331,BRCA(↑1.1),0.0,0,0,,0.0,0.026393021876055828
LRG1,0.0,0,,0.1055317367442388,BRCA(↑1.1),0.0,0,0,,0.0,0.0263829341860597
PSME2,0.0,0,,0.10551959726043032,BRCA(↑1.1),0.0,0,0,,0.0,0.02637989931510758
CCR8,0.0,0,,0.10550827684770533,BRCA(↑1.1),0.0,0,0,,0.0,0.026377069211926334
METTL26,0.0,0,,0.10550605264352306,BRCA(↑1.1),0.0,0,0,,0.0,0.026376513160880764
SPATA20P1,0.0,0,,0.1054771115799735,BRCA(↑1.1),0.0,0,0,,0.0,0.026369277894993375
MIS18A,0.0,0,,0.10543129069832595,LUAD(↑1.1),0.0,0,0,,0.0,0.026357822674581487
AC112721.2,0.0,0,,0.10536446767225463,BRCA(↑1.1),0.0,0,0,,0.0,0.026341116918063658
CHML,0.0,0,,0.10534077356061693,LUAD(↑1.1),0.0,0,0,,0.0,0.02633519339015423
DBF4,0.0,0,,0.10531040272832488,LUAD(↑1.1),0.0,0,0,,0.0,0.02632760068208122
DOP1B,0.0,0,,0.10523874873588517,BRCA(↑1.1),0.0,0,0,,0.0,0.02630968718397129
DCST1-AS1,0.0,0,,0.10522757289270697,LUAD(↑1.1),0.0,0,0,,0.0,0.026306893223176742
HASPIN,0.0,0,,0.10522463128782815,BRCA(↑1.1),0.0,0,0,,0.0,0.026306157821957037
SPATS2,0.0,0,,0.10520893418848938,LUAD(↑1.1),0.0,0,0,,0.0,0.026302233547122345
EFNA5,0.0,0,,0.10513524222763673,"BRCA(↓-1.3), LUAD(↑1.1)",0.0,0,0,,0.0,0.026283810556909183
OVGP1,0.0,0,,0.10512217476493879,LUAD(↑1.1),0.0,0,0,,0.0,0.026280543691234698
KCNK1,0.0,0,,0.10508069466629925,BRCA(↑1.1),0.0,0,0,,0.0,0.026270173666574814
PIF1,0.0,0,,0.10507882063175508,LUAD(↑1.1),0.0,0,0,,0.0,0.02626970515793877
EPHB3,0.0,0,,0.10506251565578233,LUAD(↑1.1),0.0,0,0,,0.0,0.02626562891394558
DLG3,0.0,0,,0.105056543555013,BRCA(↑1.1),0.0,0,0,,0.0,0.02626413588875325
AC012236.1,0.0,0,,0.10497550488661608,LUAD(↑1.0),0.0,0,0,,0.0,0.02624387622165402
RABEP2,0.0,0,,0.10496622884947175,BRCA(↑1.0),0.0,0,0,,0.0,0.026241557212367938
LRIG3,0.0,0,,0.10488864820065694,"BRCA(↓-1.6), LUAD(↑1.0)",0.0,0,0,,0.0,0.026222162050164234
H1-3,0.0,0,,0.10487408564530573,LUAD(↑1.0),0.0,0,0,,0.0,0.026218521411326433
HAPLN1,0.0,0,,0.10484442013596773,BRCA(↑1.0),0.0,0,0,,0.0,0.026211105033991933
SELENOI,0.0,0,,0.10484340487738017,LUAD(↑1.0),0.0,0,0,,0.0,0.026210851219345042
NSMF,0.0,0,,0.10482610278688584,LUAD(↑1.0),0.0,0,0,,0.0,0.02620652569672146
TTC39C,0.0,0,,0.1048045877730368,LUAD(↑1.0),0.0,0,0,,0.0,0.0262011469432592
INTS7,0.0,0,,0.10479113359790646,BRCA(↑1.0),0.0,0,0,,0.0,0.026197783399476614
RPL6P4,0.0,0,,0.10470413339521156,BRCA(↑1.0),0.0,0,0,,0.0,0.02617603334880289
CCT5,0.0,0,,0.10464621842289017,LUAD(↑1.0),0.0,0,0,,0.0,0.02616155460572254
INCENP,0.0,0,,0.10463240592894771,LUAD(↑1.0),0.0,0,0,,0.0,0.026158101482236927
AC120036.3,0.0,0,,0.10456820437477914,LUAD(↑1.0),0.0,0,0,,0.0,0.026142051093694784
ADAMTSL2,0.0,0,,0.10456512642020292,BRCA(↑1.0),0.0,0,0,,0.0,0.02614128160505073
LINC01983,0.0,0,,0.10452569129329228,LUAD(↑1.0),0.0,0,0,,0.0,0.02613142282332307
IGHV3OR16-11,0.0,0,,0.10448273189513316,LUAD(↑1.0),0.0,0,0,,0.0,0.02612068297378329
CSTF2,0.0,0,,0.10446024719955471,LUAD(↑1.0),0.0,0,0,,0.0,0.026115061799888678
IGHV3-52,0.0,0,,0.10445728488406585,LUAD(↑1.0),0.0,0,0,,0.0,0.02611432122101646
LINC00973,0.0,0,,0.10439857497972216,LUAD(↑1.0),0.0,0,0,,0.0,0.02609964374493054
AP000251.1,0.0,0,,0.10438447470102348,BRCA(↑1.0),0.0,0,0,,0.0,0.02609611867525587
DKC1,0.0,0,,0.10437108866251324,LUAD(↑1.0),0.0,0,0,,0.0,0.02609277216562831
FOXI3,0.0,0,,0.10434150528230446,LUAD(↑1.0),0.0,0,0,,0.0,0.026085376320576115
POLR2H,0.0,0,,0.10427410747734918,LUAD(↑1.0),0.0,0,0,,0.0,0.026068526869337295
MRPL12,0.0,0,,0.10420178011929226,BRCA(↑1.0),0.0,0,0,,0.0,0.026050445029823066
WFDC2,0.0,0,,0.1041817094422803,LUAD(↑1.0),0.0,0,0,,0.0,0.026045427360570073
AC010326.3,0.0,0,,0.10417737877911071,BRCA(↑1.0),0.0,0,0,,0.0,0.026044344694777677
ITM2C,0.0,0,,0.1041466903862462,LUAD(↑1.0),0.0,0,0,,0.0,0.02603667259656155
BMPR1B-DT,0.0,0,,0.10411396622218236,BRCA(↑1.0),0.0,0,0,,0.0,0.02602849155554559
SLC39A6,0.0,0,,0.10408974646241145,BRCA(↑1.0),0.0,0,0,,0.0,0.026022436615602863
MYBL1,0.0,0,,0.10404689492495975,BRCA(↑1.0),0.0,0,0,,0.0,0.026011723731239937
LRRN2,0.0,0,,0.10404299882342212,BRCA(↑1.0),0.0,0,0,,0.0,0.02601074970585553
AC009237.14,0.0,0,,0.10395953144904732,LUAD(↑1.0),0.0,0,0,,0.0,0.02598988286226183
ASCL1,0.0,0,,0.1039467868132821,BRCA(↑1.0),0.0,0,0,,0.0,0.025986696703320523
TSTD1,0.0,0,,0.10394287062823118,BRCA(↑1.0),0.0,0,0,,0.0,0.025985717657057796
CTSD,0.0,0,,0.1039372881240724,BRCA(↑1.0),0.0,0,0,,0.0,0.0259843220310181
HCN3,0.0,0,,0.1039110881862734,LUAD(↑1.0),0.0,0,0,,0.0,0.02597777204656835
WDR86,0.0,0,,0.10390911606539768,"BRCA(↓-1.7), LUAD(↑1.0)",0.0,0,0,,0.0,0.02597727901634942
LYPD1,0.0,0,,0.10389968829016194,LUAD(↑1.0),0.0,0,0,,0.0,0.025974922072540485
PAK1,0.0,0,,0.10375646835383404,LUAD(↑1.0),0.0,0,0,,0.0,0.02593911708845851
ILF2,0.0,0,,0.10374268315979548,LUAD(↑1.0),0.0,0,0,,0.0,0.02593567078994887
SLC27A4,0.0,0,,0.10370621116239462,BRCA(↑1.0),0.0,0,0,,0.0,0.025926552790598655
AC092115.3,0.0,0,,0.10367274510370017,LUAD(↑1.0),0.0,0,0,,0.0,0.025918186275925043
CHEK2,0.0,0,,0.10367162030866232,LUAD(↑1.0),0.0,0,0,,0.0,0.02591790507716558
FOXD2,0.0,0,,0.1036146971491888,BRCA(↑1.0),0.0,0,0,,0.0,0.0259036742872972
GAPDHP1,0.0,0,,0.10361432084925166,LUAD(↑1.0),0.0,0,0,,0.0,0.025903580212312916
AC125603.2,0.0,0,,0.10359669562584015,LUAD(↑1.0),0.0,0,0,,0.0,0.025899173906460037
GFER,0.0,0,,0.10358433307758634,BRCA(↑1.0),0.0,0,0,,0.0,0.025896083269396585
ANO9,0.0,0,,0.10353013956237071,LUAD(↑1.0),0.0,0,0,,0.0,0.025882534890592678
PSMD3,0.0,0,,0.10348107898027177,BRCA(↑1.0),0.0,0,0,,0.0,0.025870269745067943
EIF4EBP1,0.0,0,,0.10343770852254623,LUAD(↑1.0),0.0,0,0,,0.0,0.025859427130636558
NBPF4,0.0,0,,0.10343412527891552,BRCA(↑1.0),0.0,0,0,,0.0,0.02585853131972888
CCDC34,0.0,0,,0.1033953948092973,LUAD(↑1.0),0.0,0,0,,0.0,0.025848848702324324
BRIX1,0.0,0,,0.10338509002089462,LUAD(↑1.0),0.0,0,0,,0.0,0.025846272505223655
DDIAS,0.0,0,,0.10333461706837613,BRCA(↑1.0),0.0,0,0,,0.0,0.025833654267094032
DPM2,0.0,0,,0.103332764784167,BRCA(↑1.0),0.0,0,0,,0.0,0.02583319119604175
ENC1,0.0,0,,0.10332466014990374,LUAD(↑1.0),0.0,0,0,,0.0,0.025831165037475935
GPC2,0.0,0,,0.10326041750182782,LUAD(↑1.0),0.0,0,0,,0.0,0.025815104375456956
EVL,0.0,0,,0.10323889376209597,BRCA(↑1.0),0.0,0,0,,0.0,0.025809723440523992
OR2B6,0.0,0,,0.10317117768692508,BRCA(↑1.0),0.0,0,0,,0.0,0.02579279442173127
SNRPE,0.0,0,,0.10316693412490183,BRCA(↑1.0),0.0,0,0,,0.0,0.025791733531225457
TRPM8,0.0,0,,0.10315175978376749,LUAD(↑1.0),0.0,0,0,,0.0,0.025787939945941873
IGKV1OR22-1,0.0,0,,0.10314250781618135,LUAD(↑1.0),0.0,0,0,,0.0,0.025785626954045338
IL21R,0.0,0,,0.10309639046260469,BRCA(↑1.0),0.0,0,0,,0.0,0.02577409761565117
CDK5R1,0.0,0,,0.10309015970578292,LUAD(↑1.0),0.0,0,0,,0.0,0.02577253992644573
ELOB,0.0,0,,0.10308624181826209,BRCA(↑1.0),0.0,0,0,,0.0,0.025771560454565523
PKP2,0.0,0,,0.10307073759366933,LUAD(↑1.0),0.0,0,0,,0.0,0.025767684398417333
IGLV1-50,0.0,0,,0.10296620784466817,LUAD(↑1.0),0.0,0,0,,0.0,0.025741551961167043
PFKFB4,0.0,0,,0.10296426480224033,BRCA(↑1.0),0.0,0,0,,0.0,0.025741066200560082
ZFP69B,0.0,0,,0.10295229003259765,LUAD(↑1.0),0.0,0,0,,0.0,0.025738072508149412
DLX3,0.0,0,,0.10291977272847527,LUAD(↑1.0),0.0,0,0,,0.0,0.025729943182118818
NUDT8,0.0,0,,0.10290946098825308,LUAD(↑1.0),0.0,0,0,,0.0,0.02572736524706327
TMEM121,0.0,0,,0.10290426837778299,BRCA(↑1.0),0.0,0,0,,0.0,0.025726067094445748
FAM136A,0.0,0,,0.10281759839880822,LUAD(↑1.0),0.0,0,0,,0.0,0.025704399599702055
AC100861.1,0.0,0,,0.10277032352679312,LUAD(↑1.0),0.0,0,0,,0.0,0.02569258088169828
DDR1,0.0,0,,0.1027076912095362,BRCA(↑1.0),0.0,0,0,,0.0,0.02567692280238405
LIMK1,0.0,0,,0.1025914427888979,LUAD(↑1.0),0.0,0,0,,0.0,0.025647860697224474
TTLL12,0.0,0,,0.10254322295938509,BRCA(↑1.0),0.0,0,0,,0.0,0.025635805739846272
OPLAH,0.0,0,,0.10246536515598059,LUAD(↑1.0),0.0,0,0,,0.0,0.025616341288995148
LINC01270,0.0,0,,0.1024545043965179,LUAD(↑1.0),0.0,0,0,,0.0,0.025613626099129476
LINC02257,0.0,0,,0.1024429613376466,LUAD(↑1.0),0.0,0,0,,0.0,0.02561074033441165
IFI27,0.0,0,,0.10240949489910608,BRCA(↑1.0),0.0,0,0,,0.0,0.02560237372477652
TUBA3D,0.0,0,,0.10235033549023412,BRCA(↑1.0),0.0,0,0,,0.0,0.02558758387255853
MICB,0.0,0,,0.10231950475845024,BRCA(↑1.0),0.0,0,0,,0.0,0.02557987618961256
SYNGR2,0.0,0,,0.10228743356259606,BRCA(↑1.0),0.0,0,0,,0.0,0.025571858390649016
LUCAT1,0.0,0,,0.10227121877511791,LUAD(↑1.0),0.0,0,0,,0.0,0.025567804693779478
HNRNPAB,0.0,0,,0.10225182790679935,BRCA(↑1.0),0.0,0,0,,0.0,0.025562956976699837
ALG3,0.0,0,,0.10218399896381056,BRCA(↑1.0),0.0,0,0,,0.0,0.02554599974095264
MMP7,0.0,0,,0.1021712927905929,"BRCA(↓-1.4), LUAD(↑1.0)",0.0,0,0,,0.0,0.025542823197648223
TIMM17A,0.0,0,,0.10213747675947911,BRCA(↑1.0),0.0,0,0,,0.0,0.025534369189869777
VPS37D,0.0,0,,0.10211781567610796,LUAD(↑1.0),0.0,0,0,,0.0,0.02552945391902699
HOXC12,0.0,0,,0.10207856276000031,BRCA(↑1.0),0.0,0,0,,0.0,0.025519640690000078
AC007342.4,0.0,0,,0.10206438684443184,LUAD(↑1.0),0.0,0,0,,0.0,0.02551609671110796
CXCR4,0.0,0,,0.1020636209317348,BRCA(↑1.0),0.0,0,0,,0.0,0.0255159052329337
PTK7,0.0,0,,0.1020440896757944,BRCA(↑1.0),0.0,0,0,,0.0,0.0255110224189486
PDRG1,0.0,0,,0.10203513382059055,BRCA(↑1.0),0.0,0,0,,0.0,0.02550878345514764
IKBKE,0.0,0,,0.1020195650550744,LUAD(↑1.0),0.0,0,0,,0.0,0.0255048912637686
PPP1R35,0.0,0,,0.10199307276822181,LUAD(↑1.0),0.0,0,0,,0.0,0.025498268192055452
IGHD,0.0,0,,0.10194866780943004,LUAD(↑1.0),0.0,0,0,,0.0,0.02548716695235751
SLC2A10,0.0,0,,0.10193688996203809,BRCA(↑1.0),0.0,0,0,,0.0,0.025484222490509523
PUSL1,0.0,0,,0.10187705239083363,LUAD(↑1.0),0.0,0,0,,0.0,0.025469263097708406
SLC5A6,0.0,0,,0.10186364441220538,LUAD(↑1.0),0.0,0,0,,0.0,0.025465911103051346
CNOT11,0.0,0,,0.10183076128835929,LUAD(↑1.0),0.0,0,0,,0.0,0.02545769032208982
SSTR2,0.0,0,,0.10180963868060933,BRCA(↑1.0),0.0,0,0,,0.0,0.02545240967015233
AC103563.3,0.0,0,,0.10180367718734759,LUAD(↑1.0),0.0,0,0,,0.0,0.025450919296836898
HS3ST1,0.0,0,,0.101803259448866,LUAD(↑1.0),0.0,0,0,,0.0,0.0254508148622165
IL31RA,0.0,0,,0.10178149399468488,LUAD(↑1.0),0.0,0,0,,0.0,0.02544537349867122
CYP27C1,0.0,0,,0.10174307148514783,LUAD(↑1.0),0.0,0,0,,0.0,0.025435767871286957
ZNF703,0.0,0,,0.10170415334599214,BRCA(↑1.0),0.0,0,0,,0.0,0.025426038336498036
LRFN1,0.0,0,,0.10169064211115475,BRCA(↑1.0),0.0,0,0,,0.0,0.025422660527788687
PLEKHD1,0.0,0,,0.10168760264145045,BRCA(↑1.0),0.0,0,0,,0.0,0.025421900660362613
AC084864.1,0.0,0,,0.1016829551907393,LUAD(↑1.0),0.0,0,0,,0.0,0.025420738797684826
RAB3A,0.0,0,,0.10163197132903981,BRCA(↑1.0),0.0,0,0,,0.0,0.025407992832259953
MUC20P1,0.0,0,,0.10162923537202602,LUAD(↑1.0),0.0,0,0,,0.0,0.025407308843006505
LINC01703,0.0,0,,0.10162698096144525,LUAD(↑1.0),0.0,0,0,,0.0,0.025406745240361312
MTFR1,0.0,0,,0.10160658679944926,LUAD(↑1.0),0.0,0,0,,0.0,0.025401646699862314
C5AR2,0.0,0,,0.10160289434444023,BRCA(↑1.0),0.0,0,0,,0.0,0.025400723586110056
DBN1,0.0,0,,0.10158960894828697,LUAD(↑1.0),0.0,0,0,,0.0,0.025397402237071744
IGHV1-17,0.0,0,,0.10154820871875114,LUAD(↑1.0),0.0,0,0,,0.0,0.025387052179687786
SMOX,0.0,0,,0.10154269522093151,LUAD(↑1.0),0.0,0,0,,0.0,0.025385673805232878
TFAP4,0.0,0,,0.10150950859465077,LUAD(↑1.0),0.0,0,0,,0.0,0.025377377148662693
PIP5KL1,0.0,0,,0.10148974355669842,LUAD(↑1.0),0.0,0,0,,0.0,0.025372435889174604
C10orf82,0.0,0,,0.10144424014654427,BRCA(↑1.0),0.0,0,0,,0.0,0.025361060036636067
AL157838.1,0.0,0,,0.1014223237481929,LUAD(↑1.0),0.0,0,0,,0.0,0.025355580937048226
WFDC10B,0.0,0,,0.1014118204038991,LUAD(↑1.0),0.0,0,0,,0.0,0.025352955100974774
GPR84,0.0,0,,0.101294891089136,LUAD(↑1.0),0.0,0,0,,0.0,0.025323722772284
HMBS,0.0,0,,0.10128141417920053,LUAD(↑1.0),0.0,0,0,,0.0,0.025320353544800132
AC093817.2,0.0,0,,0.10122017415083376,LUAD(↑1.0),0.0,0,0,,0.0,0.02530504353770844
QPRT,0.0,0,,0.10122000540480278,BRCA(↑1.0),0.0,0,0,,0.0,0.025305001351200694
RCC2,0.0,0,,0.10121349522240006,BRCA(↑1.0),0.0,0,0,,0.0,0.025303373805600014
NETO2,0.0,0,,0.10107782010319075,LUAD(↑1.0),0.0,0,0,,0.0,0.025269455025797687
TDRKH-AS1,0.0,0,,0.10104397199729609,LUAD(↑1.0),0.0,0,0,,0.0,0.025260992999324022
SERPINH1,0.0,0,,0.10104167594107479,LUAD(↑1.0),0.0,0,0,,0.0,0.025260418985268696
ZNF428,0.0,0,,0.10103553896768278,BRCA(↑1.0),0.0,0,0,,0.0,0.025258884741920694
RMI1,0.0,0,,0.10101253517694837,BRCA(↑1.0),0.0,0,0,,0.0,0.025253133794237093
CDK5RAP3,0.0,0,,0.10100621467281487,LUAD(↑1.0),0.0,0,0,,0.0,0.025251553668203718
LINC00676,0.0,0,,0.10098653476371192,LUAD(↑1.0),0.0,0,0,,0.0,0.02524663369092798
TIMM17B,0.0,0,,0.10098526935473791,BRCA(↑1.0),0.0,0,0,,0.0,0.025246317338684477
FCRLB,0.0,0,,0.10097103748275382,BRCA(↑1.0),0.0,0,0,,0.0,0.025242759370688456
IGKV1-13,0.0,0,,0.10096721725380511,LUAD(↑1.0),0.0,0,0,,0.0,0.02524180431345128
RNY4P19,0.0,0,,0.10092389079463286,LUAD(↑1.0),0.0,0,0,,0.0,0.025230972698658215
PAGR1,0.0,0,,0.10092362318934571,BRCA(↑1.0),0.0,0,0,,0.0,0.025230905797336427
AL353693.1,0.0,0,,0.10092232290702947,"BRCA(↓-1.7), LUAD(↑1.0)",0.0,0,0,,0.0,0.02523058072675737
MS4A1,0.0,0,,0.1008798965102029,LUAD(↑1.0),0.0,0,0,,0.0,0.025219974127550726
HYLS1,0.0,0,,0.10085848981330243,BRCA(↑1.0),0.0,0,0,,0.0,0.02521462245332561
GNL3,0.0,0,,0.10085249682671309,LUAD(↑1.0),0.0,0,0,,0.0,0.02521312420667827
PPEF1,0.0,0,,0.1008262045777355,BRCA(↑1.0),0.0,0,0,,0.0,0.025206551144433875
AC103706.1,0.0,0,,0.10080079640971551,BRCA(↑1.0),0.0,0,0,,0.0,0.025200199102428877
HMGA2,0.0,0,,0.1007970610857281,LUAD(↑1.0),0.0,0,0,,0.0,0.025199265271432025
FNDC4,0.0,0,,0.10069003309799877,"BRCA(↓-1.4), LUAD(↑1.0)",0.0,0,0,,0.0,0.025172508274499693
ZNF48,0.0,0,,0.10068486646135547,BRCA(↑1.0),0.0,0,0,,0.0,0.025171216615338866
PCSK1N,0.0,0,,0.10066585580758185,LUAD(↑1.0),0.0,0,0,,0.0,0.025166463951895462
RPL26L1,0.0,0,,0.10066572534988216,BRCA(↑1.0),0.0,0,0,,0.0,0.02516643133747054
DEPDC7,0.0,0,,0.10063569045538612,LUAD(↑1.0),0.0,0,0,,0.0,0.02515892261384653
JTB,0.0,0,,0.10063045648168437,BRCA(↑1.0),0.0,0,0,,0.0,0.02515761412042109
INTS8,0.0,0,,0.10046346673067844,LUAD(↑1.0),0.0,0,0,,0.0,0.02511586668266961
GRAMD1A,0.0,0,,0.10043648692989209,BRCA(↑1.0),0.0,0,0,,0.0,0.02510912173247302
PLEKHA6,0.0,0,,0.10042606851204491,LUAD(↑1.0),0.0,0,0,,0.0,0.02510651712801123
GJB6,0.0,0,,0.10039356345817932,LUAD(↑1.0),0.0,0,0,,0.0,0.02509839086454483
CCHCR1,0.0,0,,0.10036265434397743,LUAD(↑1.0),0.0,0,0,,0.0,0.025090663585994356
CDH1,0.0,0,,0.10034261329434876,BRCA(↑1.0),0.0,0,0,,0.0,0.02508565332358719
FAM172BP,0.0,0,,0.10027668606453219,LUAD(↑1.0),0.0,0,0,,0.0,0.025069171516133047
CCDC24,0.0,0,,0.10026900928638494,BRCA(↑1.0),0.0,0,0,,0.0,0.025067252321596234
HDHD3,0.0,0,,0.10022425912891561,LUAD(↑1.0),0.0,0,0,,0.0,0.025056064782228903
SUV39H2,0.0,0,,0.10022169916281984,LUAD(↑1.0),0.0,0,0,,0.0,0.02505542479070496
MZT2B,0.0,0,,0.10017901874249917,BRCA(↑1.0),0.0,0,0,,0.0,0.025044754685624792
PAXX,0.0,0,,0.10017822584579265,BRCA(↑1.0),0.0,0,0,,0.0,0.025044556461448163
BNIP3,0.0,0,,0.10016816444417635,LUAD(↑1.0),0.0,0,0,,0.0,0.025042041111044088
APOC1,0.0,0,,0.10009400375083528,"BRCA(↑1.0), LUAD(↓-1.8)",0.0,0,0,,0.0,0.02502350093770882
SLC4A11,0.0,0,,0.1000865367717095,LUAD(↑1.0),0.0,0,0,,0.0,0.025021634192927376
GPI,0.0,0,,0.10002457644815613,LUAD(↑1.0),0.0,0,0,,0.0,0.025006144112039032
LINC02009,0.0,0,,0.10002258119541181,"BRCA(↓-1.2), LUAD(↑1.0)",0.0,0,0,,0.0,0.025005645298852953
SGPL1,0.0,0,,0.10001879604037622,LUAD(↑1.0),0.0,0,0,,0.0,0.025004699010094056
MRPL3,0.0,0,,0.10001801225153946,LUAD(↑1.0),0.0,0,0,,0.0,0.025004503062884865
SMIM29,0.0,0,,0.10000550472224105,BRCA(↑1.0),0.0,0,0,,0.0,0.025001376180560263
LINC00622,0.0,0,,0.0,,0.0,0,0,,0.0,0.0
MOAP1,0.0,0,,0.0,,0.0,0,0,,0.0,0.0
AKR1C1,0.0,0,,0.0,BRCA(↓-3.3),0.0,0,0,,0.0,0.0
CCNA1,0.0,0,,0.0,,0.0,0,0,,0.0,0.0
RSBN1L,0.0,0,,0.0,,0.0,0,0,,0.0,0.0
CRISPLD1,0.0,0,,0.0,BRCA(↓-1.7),0.0,0,0,,0.0,0.0
STAG2,0.0,0,,0.0,,0.0,0,0,,0.0,0.0
FREM2,0.0,0,,0.0,LUAD(↓-1.2),0.0,0,0,,0.0,0.0
CA13,0.0,0,,0.0,,0.0,0,0,,0.0,0.0
